,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 year rent,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,,,,,,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 month hight season,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,,,,,,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 month low season,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,,,,,,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-3 days,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,,,,,,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-7 days,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,,,,,,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-14 days,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,,,,,,,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-25 day,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,,,,,,,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,,,,,,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,,,,,,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,,,,,,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March ,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,,,,,,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,,,,,,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,,,,,,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer ,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,,,,,,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,,,,,,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,,,,,,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November ,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,,,,,,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,b1 мощьность,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,b2 бренд,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,b3 год скутера,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,b58 ссылка на фото,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,b51 цвет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,b57 main photo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
